"total cpu usage",,,,,,"dsk/total",,"net/total",,"memory usage",,,,"paging",,"swap",
"usr","sys","idl","wai","hiq","siq","read","writ","recv","send","used","buff","cach","free","in","out","used","free"
35.3631,1.56478,29.8711,32.6547,0.015625,0.530687,2.05569e+08,311040,8653.75,13892,4.35131e+09,5.56506e+06,5.41524e+08,1.61327e+10,0,0,6.83315e+06,2.14693e+10,
35.4886,1.79481,30.2565,31.9647,0.0195312,0.475969,1.93394e+08,367616,26698.9,11188.8,4.31282e+09,5.67091e+06,6.3868e+08,1.60739e+10,0,0,6.83315e+06,2.14693e+10,
30.1184,1.94328,33.7214,33.702,0.0273438,0.487812,1.96773e+08,185088,44824.9,27823,4.35818e+09,5.77178e+06,7.34898e+08,1.59322e+10,0,0,6.83315e+06,2.14693e+10,
25.4047,1.98784,38.7773,33.3627,0.0195312,0.448031,1.92802e+08,174848,26015.3,11176.8,4.47708e+09,5.872e+06,8.3114e+08,1.5717e+10,0,0,6.83315e+06,2.14693e+10,
24.6739,2.18928,38.9355,33.7448,0.035125,0.421438,1.89875e+08,61696,68434.4,48341.4,4.50743e+09,5.97158e+06,9.22586e+08,1.55951e+10,0,0,6.83315e+06,2.14693e+10,
24.1806,2.50597,42.1133,30.7357,0.0273438,0.437156,1.79665e+08,104960,155304,197917,4.1996e+09,6.07104e+06,1.00746e+09,1.58179e+10,0,0,6.83315e+06,2.14693e+10,
25.906,4.51941,47.7262,21.455,0.0193437,0.373812,1.21463e+08,213248,324132,253761,3.19529e+09,6.15603e+06,1.06388e+09,1.67658e+10,0,0,6.83315e+06,2.14693e+10,
39.1419,2.91469,42.1772,15.4787,0.0272187,0.260437,8.91983e+07,317440,220657,351413,3.04167e+09,6.25088e+06,1.10602e+09,1.68771e+10,0,0,6.83315e+06,2.14693e+10,
50.5608,3.948,32.1286,13.0567,0.0507187,0.255344,8.16108e+07,180992,180545,225286,2.81038e+09,6.3296e+06,1.14382e+09,1.70706e+10,0,0,6.83315e+06,2.14693e+10,
61.0298,3.99812,27.7162,7.01197,0.01925,0.224625,5.75363e+07,227584,222187,196250,2.33894e+09,6.3936e+06,1.16992e+09,1.75158e+10,0,0,6.83315e+06,2.14693e+10,
69.2309,5.76387,20.6388,4.19547,0,0.171,3.58477e+07,449792,211414,207241,2.15072e+09,6.48282e+06,1.18595e+09,1.76879e+10,0,0,6.83315e+06,2.14693e+10,
