"total cpu usage",,,,,,"dsk/total",,"net/total",,"memory usage",,,,"paging",
"usr","sys","idl","wai","hiq","siq","read","writ","recv","send","used","buff","cach","free","in","out"
27.4522,0.288813,72.0877,0.124781,0.0117188,0.035125,1.11099e+07,159744,1.21901e+06,826395,2.35488e+09,2.18048e+06,1.65855e+08,1.85082e+10,0,0,
27.6372,0.238094,72.0311,0.015625,0.0117188,0.066375,9.00787e+06,121600,1.29535e+06,1.24307e+06,2.36254e+09,2.18854e+06,1.69448e+08,1.84969e+10,0,0,
27.6975,0.2225,71.8889,0.121,0.00390625,0.066375,1.20297e+07,87296,2.25932e+06,2.32683e+06,2.36993e+09,2.20582e+06,1.74427e+08,1.84845e+10,0,0,
28.5315,0.288906,70.9767,0.128844,0.015625,0.0585625,1.3835e+07,73472,1.96641e+06,2.08598e+06,2.38427e+09,2.22131e+06,1.8034e+08,1.84643e+10,0,0,
28.9624,0.255062,70.2727,0.432938,0.00390625,0.0732187,1.40785e+07,102144,1.01103e+06,1.23205e+06,2.39865e+09,2.24154e+06,1.8627e+08,1.84439e+10,0,0,
28.9765,0.264813,70.3142,0.362844,0.0078125,0.0739375,1.34408e+07,37888,791160,601360,2.40858e+09,2.26317e+06,1.91953e+08,1.84283e+10,0,0,
27.9293,0.332656,71.2546,0.398875,0.00390625,0.0808125,1.44471e+07,167680,1.38221e+06,1.58999e+06,2.42665e+09,2.29658e+06,1.98193e+08,1.84039e+10,0,0,
28.1224,0.357469,70.8107,0.627844,0.00390625,0.0778125,1.85196e+07,108288,1.6293e+06,1.46898e+06,2.44432e+09,2.34381e+06,2.06356e+08,1.83781e+10,0,0,
26.8798,0.241906,72.0663,0.741969,0.00390625,0.0663125,1.40808e+07,100352,1.51073e+06,1.34655e+06,2.45107e+09,2.37811e+06,2.1266e+08,1.8365e+10,0,0,
27.7202,0.363125,71.0235,0.792125,0.0078125,0.0934062,1.16111e+07,54528,2.45037e+06,2.18941e+06,2.45349e+09,2.40922e+06,2.17521e+08,1.83577e+10,0,0,
28.4271,0.327563,70.481,0.706125,0.0078125,0.0505312,1.29459e+07,58112,2.11659e+06,2.23988e+06,2.45556e+09,2.44019e+06,2.22875e+08,1.83502e+10,0,0,
27.9413,0.195156,71.2391,0.554375,0.00390625,0.0663438,1.28468e+07,203008,826429,1.19062e+06,2.45618e+09,2.45555e+06,2.28269e+08,1.83442e+10,0,0,
27.9233,0.210719,71.2066,0.589188,0.0078125,0.0625,1.48116e+07,101120,593762,767625,2.45622e+09,2.46861e+06,2.34766e+08,1.83376e+10,0,0,
28.4867,0.232344,70.7902,0.409594,0.0114687,0.0697813,1.38504e+07,118528,1.46205e+06,958426,2.45688e+09,2.48384e+06,2.4068e+08,1.8331e+10,0,0,
27.8003,0.222594,71.5046,0.402344,0.0078125,0.0625,1.56104e+07,150272,1.5396e+06,1.70956e+06,2.4577e+09,2.49958e+06,2.47303e+08,1.83236e+10,0,0,
27.4753,0.230312,71.8142,0.40625,0.00390625,0.0702813,1.29987e+07,76032,1.57795e+06,1.80687e+06,2.4584e+09,2.51418e+06,2.52733e+08,1.83174e+10,0,0,
26.9732,0.253313,72.0761,0.600062,0.0117188,0.0856875,1.6447e+07,177408,2.75273e+06,2.27902e+06,2.45868e+09,2.5248e+06,2.59921e+08,1.831e+10,0,0,
28.5617,0.202969,70.7073,0.457844,0,0.0702813,1.2542e+07,76288,2.24812e+06,2.25191e+06,2.45916e+09,2.53837e+06,2.65245e+08,1.83041e+10,0,0,
28.0601,0.167844,71.2696,0.436156,0.0117188,0.0546875,1.14939e+07,94464,671992,1.04786e+06,2.45947e+09,2.55501e+06,2.69897e+08,1.82992e+10,0,0,
28.0814,0.193937,71.5963,0.0702187,0.0078125,0.0504688,9.9881e+06,71936,732239,547137,2.46004e+09,2.56358e+06,2.73975e+08,1.82945e+10,0,0,
28.0939,0.249688,71.3755,0.195062,0.0078125,0.0780625,1.59967e+07,27392,1.52385e+06,757292,2.46073e+09,2.57434e+06,2.80932e+08,1.82868e+10,0,0,
28.8747,0.234312,70.7584,0.0507187,0.0117188,0.0703125,1.44407e+07,161536,1.15749e+06,1.6396e+06,2.46239e+09,2.58624e+06,2.87143e+08,1.8279e+10,0,0,
27.9816,0.312219,71.5582,0.05075,0.0078125,0.0897813,1.68724e+07,45312,1.6975e+06,2.25229e+06,2.45844e+09,2.60198e+06,2.94465e+08,1.82756e+10,0,0,
27.9324,0.225094,71.6088,0.136656,0.0078125,0.0894375,1.32078e+07,126464,2.78348e+06,2.69572e+06,2.4579e+09,2.62003e+06,3.00123e+08,1.82704e+10,0,0,
28.5806,0.171781,70.9316,0.245906,0.0078125,0.0625,1.43662e+07,86784,2.26158e+06,1.86555e+06,2.457e+09,2.63155e+06,3.06236e+08,1.82652e+10,0,0,
27.4705,0.195,72.2489,0.023375,0.0155937,0.0467812,1.119e+07,28928,980835,1.12088e+06,2.45713e+09,2.63923e+06,3.10769e+08,1.82605e+10,0,0,
26.9472,0.179531,72.7836,0.0234375,0.015625,0.0507812,1.13129e+07,114944,628074,717910,2.45672e+09,2.65126e+06,3.15365e+08,1.82563e+10,0,0,
28.1113,0.167844,71.5805,0.0624375,0.0078125,0.0702813,1.26917e+07,71936,1.20067e+06,767714,2.45687e+09,2.6624e+06,3.20686e+08,1.82509e+10,0,0,
28.5915,0.265344,70.7922,0.269156,0,0.082,1.67864e+07,169984,1.41714e+06,1.2176e+06,2.45626e+09,2.68403e+06,3.28046e+08,1.82441e+10,0,0,
28.4535,0.288844,71.094,0.0585938,0.00778125,0.0975625,1.55789e+07,132352,1.678e+06,2.47728e+06,2.45647e+09,2.69645e+06,3.34782e+08,1.82371e+10,0,0,
27.5473,0.276375,72.0792,0.0273438,0.00390625,0.0660938,1.39694e+07,141568,2.71814e+06,2.76492e+06,2.45606e+09,2.70784e+06,3.40789e+08,1.82315e+10,0,0,
27.7583,0.179531,71.9373,0.0624375,0.00390625,0.0585313,1.17806e+07,178432,2.34109e+06,1.93625e+06,2.45477e+09,2.72051e+06,3.45634e+08,1.8228e+10,0,0,
27.2663,0.189719,72.3216,0.163938,0.0078125,0.0507187,1.55476e+07,60928,1.21284e+06,1.07988e+06,2.45412e+09,2.73254e+06,3.52355e+08,1.82219e+10,0,0,
27.4129,0.198781,72.2754,0.0507812,0,0.062375,1.13147e+07,180992,700153,1.05134e+06,2.4538e+09,2.74739e+06,3.56997e+08,1.82175e+10,0,0,
27.5798,0.206156,72.0626,0.0624063,0.0115937,0.0776562,1.32534e+07,119808,949573,738048,2.45386e+09,2.75981e+06,3.62693e+08,1.82118e+10,0,0,
27.9798,0.206812,71.673,0.0584687,0,0.0819688,1.43281e+07,72448,1.20238e+06,991160,2.45234e+09,2.7703e+06,3.68767e+08,1.82072e+10,0,0,
28.7539,0.226187,70.7391,0.171719,0.0078125,0.101469,1.57824e+07,114944,1.47605e+06,1.80291e+06,2.45157e+09,2.78067e+06,3.75669e+08,1.82011e+10,0,0,
28.3504,0.222562,71.2827,0.0624375,0.0078125,0.0741875,1.28223e+07,115456,2.38431e+06,2.7062e+06,2.45142e+09,2.79437e+06,3.81029e+08,1.81958e+10,0,0,
27.6398,0.225969,72.0407,0.0234375,0,0.0702187,1.29198e+07,76800,2.88385e+06,2.71502e+06,2.4503e+09,2.8096e+06,3.86439e+08,1.81915e+10,0,0,
27.5061,0.204969,71.9146,0.297094,0,0.07725,1.44456e+07,191744,1.57892e+06,1.32815e+06,2.45072e+09,2.82867e+06,3.92643e+08,1.81849e+10,0,0,
28.0488,0.222375,71.37,0.284906,0.0078125,0.0663125,1.48334e+07,152320,741612,849568,2.45031e+09,2.85082e+06,3.9894e+08,1.8179e+10,0,0,
27.4747,0.214594,72.217,0.0273125,0.00390625,0.0625,1.24826e+07,66560,648085,810120,2.45008e+09,2.86579e+06,4.04271e+08,1.81739e+10,0,0,
28.6588,0.238219,71.0132,0.0234062,0.0078125,0.0585625,1.2993e+07,72448,882655,525421,2.44959e+09,2.87987e+06,4.09813e+08,1.81688e+10,0,0,
28.5063,0.222438,71.0605,0.11325,0.0117188,0.0858438,1.53615e+07,74240,2.01623e+06,1.93268e+06,2.44871e+09,2.8951e+06,4.16376e+08,1.81631e+10,0,0,
28.1184,0.230188,71.4017,0.144469,0.0116875,0.0936562,1.44868e+07,120832,2.9988e+06,3.60687e+06,2.4479e+09,2.90662e+06,4.22585e+08,1.81577e+10,0,0,
27.3399,0.214688,72.2933,0.0663438,0.0195312,0.0664062,1.38266e+07,104960,2.37123e+06,2.37002e+06,2.44743e+09,2.9175e+06,4.28517e+08,1.81522e+10,0,0,
27.852,0.195062,71.8593,0.0117188,0.00390625,0.0780625,1.25752e+07,100864,1.28561e+06,851639,2.44712e+09,2.92941e+06,4.33802e+08,1.81472e+10,0,0,
