"total cpu usage",,,,,,"dsk/total",,"net/total",,"memory usage",,,,"paging",
"usr","sys","idl","wai","hiq","siq","read","writ","recv","send","used","buff","cach","free","in","out"
19.645,1.68194,41.9991,36.1939,0.0234062,0.456469,2.07217e+08,49664,3197.31,2595.09,5.01528e+09,3.90298e+06,1.26529e+09,1.47466e+10,0,0,
21.2391,1.83719,42.8515,33.612,0.015625,0.444656,2.0612e+08,49664,3252.53,4674.25,5.06359e+09,4.0073e+06,1.36851e+09,1.4595e+10,0,0,
18.4755,1.61541,43.7612,35.6798,0.0195312,0.448656,2.0492e+08,58112,5050.53,46657.2,5.11868e+09,4.11008e+06,1.46871e+09,1.44396e+10,0,0,
18.9644,1.596,43.0465,35.9561,0.015625,0.4215,2.10188e+08,26880,1179.69,1927.38,5.15933e+09,4.21978e+06,1.57236e+09,1.42952e+10,0,0,
19.9218,1.73653,43.5936,34.2837,0.0273438,0.437125,2.07467e+08,7936,2700.75,4367.88,5.19577e+09,4.336e+06,1.6758e+09,1.41552e+10,0,0,
18.1931,1.44022,45.61,34.2922,0,0.464438,2.12196e+08,13312,4975.03,3259.53,5.22514e+09,4.44314e+06,1.78145e+09,1.40201e+10,0,0,
18.9738,1.59981,45.2968,33.6498,0.0390625,0.440906,2.08311e+08,7424,1831.47,2056.91,5.26741e+09,4.54938e+06,1.88423e+09,1.38749e+10,0,0,
21.0649,1.89547,43.7413,32.8072,0.039,0.4525,2.0974e+08,40960,3346.5,4439.88,5.33976e+09,4.65754e+06,1.98668e+09,1.37e+10,0,0,
18.3454,1.74825,45.1762,34.2893,0.0117188,0.42925,2.11014e+08,32512,5745.06,3231.53,5.43847e+09,4.76429e+06,2.09147e+09,1.34964e+10,0,0,
19.1655,1.97041,43.1652,35.2306,0.0117188,0.456594,2.11875e+08,40448,4460.28,2157.75,5.56005e+09,4.87155e+06,2.19669e+09,1.32695e+10,0,0,
21.1163,2.12216,42.0272,34.2857,0.0195312,0.429219,2.13313e+08,137984,3846.03,4231.72,5.67656e+09,4.97779e+06,2.30265e+09,1.30469e+10,0,0,
19.3274,1.77947,42.4024,36.0149,0.0351562,0.440937,2.11117e+08,105216,5531.91,3325.25,5.78051e+09,5.08224e+06,2.40704e+09,1.28384e+10,0,0,
20.0749,1.85363,43.1632,34.4363,0.0195312,0.452656,2.14168e+08,191488,1809.72,2170.69,5.87137e+09,5.19091e+06,2.51401e+09,1.26405e+10,0,0,
20.7446,1.87772,40.0743,36.8778,0.0273438,0.39825,2.1135e+08,126208,3282.62,4093.31,5.94471e+09,5.29907e+06,2.61675e+09,1.24643e+10,0,0,
19.9487,1.51019,42.0107,36.07,0.0078125,0.452625,2.11686e+08,150528,5476.28,4006.56,5.98997e+09,5.40685e+06,2.72328e+09,1.23124e+10,0,0,
19.8121,1.59191,40.9511,37.1885,0.0195312,0.437063,2.16197e+08,83968,2572.56,4634.81,6.02224e+09,5.51398e+06,2.82869e+09,1.21746e+10,0,0,
21.3509,1.72391,42.2885,34.1763,0.0273438,0.433,2.14697e+08,36608,2917.38,11459.2,6.04964e+09,5.62022e+06,2.93546e+09,1.20404e+10,0,0,
19.8314,1.51056,43.4068,34.8024,0.015625,0.433156,2.13709e+08,123136,14803.5,12734.8,6.05314e+09,5.72813e+06,3.04009e+09,1.19321e+10,0,0,
19.7462,1.55997,43.333,34.889,0.035125,0.436844,2.10368e+08,77312,1888.12,6991.66,6.0717e+09,5.83808e+06,3.14541e+09,1.18081e+10,0,0,
23.3036,1.83841,40.6573,33.7176,0.0390313,0.444281,2.12954e+08,41728,9143.03,22442.8,6.08791e+09,5.94803e+06,3.25243e+09,1.16848e+10,0,0,
19.7899,1.56128,45.4672,32.7328,0.0234375,0.425406,2.07864e+08,2048,21634.2,10084.6,6.03506e+09,6.04966e+06,3.35457e+09,1.16354e+10,0,0,
21.1853,1.59144,43.7855,32.9695,0.0234375,0.444688,2.05429e+08,51200,10481.8,16943.4,6.06326e+09,6.15373e+06,3.45509e+09,1.15066e+10,0,0,
22.357,1.83012,41.7282,33.6593,0.015625,0.409781,2.00611e+08,27136,20338.8,18294.5,6.01487e+09,6.25933e+06,3.55528e+09,1.14547e+10,0,0,
22.904,1.80419,40.4405,34.3641,0.0234375,0.463719,2.06289e+08,58624,49913.2,42682.2,5.90204e+09,6.36774e+06,3.65576e+09,1.14669e+10,0,0,
25.9314,1.95369,40.5317,31.1157,0.0194375,0.447937,2.09669e+08,48896,52423.3,47594.4,5.7606e+09,6.47949e+06,3.76124e+09,1.15028e+10,0,0,
