4 sys 0m1.411s
8 sys 0m0.667s
16 sys 0m0.457s
32 sys 0m0.463s
64 sys 0m0.417s
128 sys 0m0.440s
256 sys 0m0.418s
512 sys 0m0.434s
1024 sys 0m0.472s
2048 794.232
