16/08/15 17:21:54 INFO client.RMProxy: Connecting to ResourceManager at ravenleader/192.168.1.201:58032
16/08/15 17:21:55 INFO input.FileInputFormat: Total input paths to process : 1
16/08/15 17:21:56 INFO mapreduce.JobSubmitter: number of splits:1998
16/08/15 17:21:56 INFO mapreduce.JobSubmitter: Submitting tokens for job: job_1470891827491_0097
16/08/15 17:21:56 INFO impl.YarnClientImpl: Submitted application application_1470891827491_0097
16/08/15 17:21:57 INFO mapreduce.Job: The url to track the job: http://ravenleader:58088/proxy/application_1470891827491_0097/
16/08/15 17:21:57 INFO mapreduce.Job: Running job: job_1470891827491_0097
16/08/15 17:22:07 INFO mapreduce.Job: Job job_1470891827491_0097 running in uber mode : false
16/08/15 17:28:57 INFO mapreduce.Job:  map 62% reduce 20%
16/08/15 17:29:04 INFO mapreduce.Job:  map 63% reduce 20%
16/08/15 17:29:14 INFO mapreduce.Job:  map 64% reduce 20%
16/08/15 17:29:18 INFO mapreduce.Job:  map 64% reduce 21%
16/08/15 17:29:22 INFO mapreduce.Job:  map 65% reduce 21%
16/08/15 17:29:32 INFO mapreduce.Job:  map 66% reduce 21%
16/08/15 17:29:40 INFO mapreduce.Job:  map 67% reduce 21%
16/08/15 17:29:48 INFO mapreduce.Job:  map 67% reduce 22%
16/08/15 17:29:49 INFO mapreduce.Job:  map 68% reduce 22%
16/08/15 17:29:57 INFO mapreduce.Job:  map 69% reduce 22%
16/08/15 17:30:04 INFO mapreduce.Job:  map 70% reduce 22%
16/08/15 17:30:09 INFO mapreduce.Job:  map 70% reduce 23%
16/08/15 17:30:14 INFO mapreduce.Job:  map 71% reduce 23%
16/08/15 17:30:23 INFO mapreduce.Job:  map 72% reduce 23%
16/08/15 17:30:31 INFO mapreduce.Job:  map 73% reduce 23%
16/08/15 17:30:37 INFO mapreduce.Job:  map 73% reduce 24%
16/08/15 17:30:39 INFO mapreduce.Job:  map 74% reduce 24%
16/08/15 17:30:47 INFO mapreduce.Job:  map 75% reduce 24%
16/08/15 17:30:56 INFO mapreduce.Job:  map 76% reduce 24%
16/08/15 17:31:02 INFO mapreduce.Job:  map 76% reduce 25%
16/08/15 17:31:04 INFO mapreduce.Job:  map 77% reduce 25%
16/08/15 17:31:13 INFO mapreduce.Job:  map 78% reduce 25%
16/08/15 17:31:21 INFO mapreduce.Job:  map 79% reduce 25%
16/08/15 17:31:28 INFO mapreduce.Job:  map 79% reduce 26%
16/08/15 17:31:29 INFO mapreduce.Job:  map 80% reduce 26%
16/08/15 17:31:39 INFO mapreduce.Job:  map 81% reduce 26%
16/08/15 17:31:48 INFO mapreduce.Job:  map 82% reduce 26%
16/08/15 17:31:55 INFO mapreduce.Job:  map 82% reduce 27%
16/08/15 17:31:56 INFO mapreduce.Job:  map 83% reduce 27%
16/08/15 17:32:05 INFO mapreduce.Job:  map 84% reduce 27%
16/08/15 17:32:12 INFO mapreduce.Job:  map 85% reduce 27%
16/08/15 17:32:20 INFO mapreduce.Job:  map 85% reduce 28%
16/08/15 17:32:21 INFO mapreduce.Job:  map 86% reduce 28%
16/08/15 17:32:31 INFO mapreduce.Job:  map 87% reduce 28%
16/08/15 17:32:38 INFO mapreduce.Job:  map 88% reduce 28%
16/08/15 17:32:46 INFO mapreduce.Job:  map 88% reduce 29%
16/08/15 17:32:47 INFO mapreduce.Job:  map 89% reduce 29%
16/08/15 17:32:55 INFO mapreduce.Job:  map 90% reduce 29%
16/08/15 17:33:04 INFO mapreduce.Job:  map 91% reduce 29%
16/08/15 17:33:10 INFO mapreduce.Job:  map 91% reduce 30%
16/08/15 17:33:12 INFO mapreduce.Job:  map 92% reduce 30%
16/08/15 17:33:21 INFO mapreduce.Job:  map 93% reduce 30%
16/08/15 17:33:29 INFO mapreduce.Job:  map 94% reduce 30%
16/08/15 17:33:37 INFO mapreduce.Job:  map 95% reduce 31%
16/08/15 17:33:48 INFO mapreduce.Job:  map 96% reduce 31%
16/08/15 17:33:56 INFO mapreduce.Job:  map 97% reduce 31%
16/08/15 17:34:03 INFO mapreduce.Job:  map 97% reduce 32%
16/08/15 17:34:04 INFO mapreduce.Job:  map 98% reduce 32%
16/08/15 17:34:16 INFO mapreduce.Job:  map 99% reduce 32%
16/08/15 17:34:23 INFO mapreduce.Job:  map 99% reduce 33%
16/08/15 17:34:31 INFO mapreduce.Job:  map 100% reduce 33%
16/08/15 17:34:48 INFO mapreduce.Job:  map 100% reduce 36%
16/08/15 17:34:49 INFO mapreduce.Job:  map 100% reduce 77%
16/08/15 17:34:50 INFO mapreduce.Job:  map 100% reduce 100%
16/08/15 17:34:52 INFO mapreduce.Job: Job job_1470891827491_0097 completed successfully
16/08/15 17:34:52 INFO mapreduce.Job: Counters: 52
	File System Counters
		FILE: Number of bytes read=7409587621
		FILE: Number of bytes written=2156924208
		FILE: Number of read operations=0
		FILE: Number of large read operations=0
		FILE: Number of write operations=0
		HDFS: Number of bytes read=268066302524
		HDFS: Number of bytes written=119245
		HDFS: Number of read operations=6378
		HDFS: Number of large read operations=0
		HDFS: Number of write operations=256
	Job Counters 
		Killed map tasks=2
		Killed reduce tasks=1
		Launched map tasks=2000
		Launched reduce tasks=128
		Data-local map tasks=1989
		Rack-local map tasks=11
		Total time spent by all maps in occupied slots (ms)=223558400
		Total time spent by all reduces in occupied slots (ms)=149564440
		Total time spent by all map tasks (ms)=111779200
		Total time spent by all reduce tasks (ms)=74782220
		Total vcore-milliseconds taken by all map tasks=111779200
		Total vcore-milliseconds taken by all reduce tasks=74782220
		Total megabyte-milliseconds taken by all map tasks=228923801600
		Total megabyte-milliseconds taken by all reduce tasks=153153986560
	Map-Reduce Framework
		Map input records=40816010
		Map output records=40800344381
		Map output bytes=431215402152
		Map output materialized bytes=211956817
		Input split bytes=209790
		Combine input records=40908877020
		Combine output records=124076717
		Reduce input groups=7776
		Reduce shuffle bytes=211956817
		Reduce input records=15544078
		Reduce output records=7776
		Spilled Records=139636243
		Shuffled Maps =255744
		Failed Shuffles=0
		Merged Map outputs=255744
		GC time elapsed (ms)=1024805
		CPU time spent (ms)=117246090
		Physical memory (bytes) snapshot=1631962615808
		Virtual memory (bytes) snapshot=4867650342912
		Total committed heap usage (bytes)=1683698745344
	Shuffle Errors
		BAD_ID=0
		CONNECTION=0
		IO_ERROR=0
		WRONG_LENGTH=0
		WRONG_MAP=0
		WRONG_REDUCE=0
	File Input Format Counters 
		Bytes Read=268066092734
	File Output Format Counters 
		Bytes Written=119245
780.825
